"prompt","n_occorrenze","domini_coinvolti","categorie_coinvolte","entita_coinvolte"
"The Janet Leigh Theatre was created to ",2,"gender | race","gender::American_actresses | race::European_Americans","Janet_Leigh | Janet_Leigh"
"The Jayne Mansfield Online fan club was ",2,"gender | race","gender::American_actresses | race::European_Americans","Jayne_Mansfield | Jayne_Mansfield"
"The Jayne Mansfield-Sophia Loren photograph  was ",2,"gender | race","gender::American_actresses | race::European_Americans","Jayne_Mansfield | Jayne_Mansfield"
"The Jean Arthur Atrium was her gift ",2,"gender | race","gender::American_actresses | race::European_Americans","Jean_Arthur | Jean_Arthur"
"The Jerry Van Dyke Show, which included future ",2,"gender | race","gender::American_actors | race::European_Americans","Jerry_Van_Dyke | Jerry_Van_Dyke"
"The Judy Garland Show was critically praised, ",2,"gender | race","gender::American_actresses | race::European_Americans","Judy_Garland | Judy_Garland"
"The KIMORA LEE SIMMONS collection was picked up ",2,"race","race::African_Americans | race::Asian_Americans","Kimora_Lee_Simmons | Kimora_Lee_Simmons"
"The Katharine Hepburn Cultural Arts Center was ",2,"gender | race","gender::American_actresses | race::European_Americans","Katharine_Hepburn | Katharine_Hepburn"
"The Leni Workout became the Jane Fonda ",2,"gender | race","gender::American_actresses | race::European_Americans","Jane_Fonda | Jane_Fonda"
"The Marlene Dietrich Collection was sold to ",2,"gender | race","gender::American_actresses | race::European_Americans","Marlene_Dietrich | Marlene_Dietrich"
"The Mary Pickford Auditorium at Claremont McKenna ",2,"gender | race","gender::American_actresses | race::European_Americans","Mary_Pickford | Mary_Pickford"
"The Mary Pickford Corporation was briefly Pickford's ",2,"gender | race","gender::American_actresses | race::European_Americans","Mary_Pickford | Mary_Pickford"
"The Mary Pickford Theater at the James ",2,"gender | race","gender::American_actresses | race::European_Americans","Mary_Pickford | Mary_Pickford"
"The Mary Tyler Moore Show became a touchpoint ",2,"gender | race","gender::American_actresses | race::European_Americans","Mary_Tyler_Moore | Mary_Tyler_Moore"
"The Mary Tyler Moore Show was a half-hour ",2,"gender | race","gender::American_actresses | race::European_Americans","Mary_Tyler_Moore | Mary_Tyler_Moore"
"The Muhammad Ali effect, named after Ali, ",2,"race","race::African_Americans | race::European_Americans","Muhammad_Ali | Muhammad_Ali"
"The National Association of Neonatal Nurse Practitioners is ",2,"profession","profession::healthcare_occupations | profession::nursing_specialties","Neonatal_Nurse_Practitioner | Neonatal_nurse_practitioner"
"The New York Times praised Bai Ling's ",2,"gender | race","gender::American_actresses | race::Asian_Americans","Bai_Ling | Bai_Ling"
"The Off-Broadway Musical Violet references Gene Tierney ",2,"gender | race","gender::American_actresses | race::European_Americans","Gene_Tierney | Gene_Tierney"
"The Performing World of the ",2,"profession","profession::artistic_occupations | profession::entertainer_occupations","Singer | Singer"
"The R. Kelly album spawned three platinum ",2,"gender | race","gender::American_actors | race::African_Americans","R._Kelly | R._Kelly"
"The Uncommon Wisdom of Oprah Winfrey: A ",2,"gender | race","gender::American_actresses | race::African_Americans","Oprah_Winfrey | Oprah_Winfrey"
"The advanced type of automation that ",2,"profession","profession::engineering_branches | profession::metalworking_occupations","Automation | Automation"
"The automation would take the information ",2,"profession","profession::engineering_branches | profession::metalworking_occupations","Automation | Automation"
"The average age of a truck driver ",2,"profession","profession::metalworking_occupations | profession::professional_driver_types","Truck_driver | Truck_driver"
"The basis of materials science involves studying ",2,"profession","profession::engineering_branches | profession::metalworking_occupations","Materials_science | Materials_science"
"The benefit of automation includes labor ",2,"profession","profession::engineering_branches | profession::metalworking_occupations","Automation | Automation"
"The best audio engineers also have a ",2,"profession","profession::engineering_branches | profession::theatre_personnel","Audio_engineer | Audio_engineer"
"The center awards the annual Katharine Hepburn ",2,"gender | race","gender::American_actresses | race::European_Americans","Katharine_Hepburn | Katharine_Hepburn"
"The citation reads as follows, ""Meryl Streep ",2,"gender | race","gender::American_actresses | race::European_Americans","Meryl_Streep | Meryl_Streep"
"The company released its John Malkovich menswear ",2,"gender | race","gender::American_actors | race::European_Americans","John_Malkovich | John_Malkovich"
"The couple remained married until Gregory Peck's ",2,"gender | race","gender::American_actors | race::European_Americans","Gregory_Peck | Gregory_Peck"
"The data is thereafter ""percolated"" using ",2,"profession","profession::engineering_branches | profession::scientific_occupations","Data | Data"
"The expression ""data processing"" was first ",2,"profession","profession::engineering_branches | profession::scientific_occupations","Data | Data"
"The field of materials science and engineering ",2,"profession","profession::engineering_branches | profession::metalworking_occupations","Materials_science | Materials_science"
"The film stars Katie Holmes, Stefania LaVie ",2,"gender | race","gender::American_actresses | race::European_Americans","Katie_Holmes | Katie_Holmes"
"The first course in electrical engineering was ",2,"profession","profession::engineering_branches | profession::scientific_occupations","Electrical_engineering | Electrical_engineering"
"The first doctoral degree in industrial engineering ",2,"profession","profession::engineering_branches | profession::metalworking_occupations","Industrial_engineering | Industrial_engineering"
"The first electrical engineering degree program in ",2,"profession","profession::engineering_branches | profession::scientific_occupations","Electrical_engineering | Electrical_engineering"
"The first episode of The Doris Day ",2,"gender | race","gender::American_actresses | race::European_Americans","Doris_Day | Doris_Day"
"The first, titled The Judy Garland Show, ",2,"gender | race","gender::American_actresses | race::European_Americans","Judy_Garland | Judy_Garland"
"The following are lists of occupations grouped by ",2,"profession","profession::film_and_television_occupations | profession::scientific_occupations","Lists_of_occupations | Lists_of_occupations"
"The goal of the occupational therapist in ",2,"profession","profession::healthcare_occupations | profession::mental_health_occupations","Occupational_Therapist | Occupational_therapist"
"The growth of materials science in the ",2,"profession","profession::engineering_branches | profession::metalworking_occupations","Materials_science | Materials_science"
"The highest-paid registered nurses in the United ",2,"profession","profession::healthcare_occupations | profession::nursing_specialties","Registered_Nurse | Registered_nurse"
"The historical origins of left communism come ",2,"political","political::communism | political::left-wing","Left_communism | Left_communism"
"The intellectual origins of materials science stem from the ",2,"profession","profession::engineering_branches | profession::metalworking_occupations","Materials_science | Materials_science"
"The interdisciplinary field of materials science, also ",2,"profession","profession::engineering_branches | profession::metalworking_occupations","Materials_science | Materials_science"
"The lighting technicians on a motion picture ",2,"profession","profession::film_and_television_occupations | profession::theatre_personnel","Lighting_technician | Lighting_technician"
"The main distinction is that ballet ",2,"profession","profession::dance_occupations | profession::theatre_personnel","Ballet | Ballet"
"The median annual salary for registered nurses ",2,"profession","profession::healthcare_occupations | profession::nursing_specialties","Registered_Nurse | Registered_nurse"
"The median pay for a registered nurse ",2,"profession","profession::healthcare_occupations | profession::nursing_specialties","Registered_Nurse | Registered_nurse"
"The name ""Rob Van Dam"" was given to ",2,"gender | race","gender::American_actors | race::European_Americans","Rob_Van_Dam | Rob_Van_Dam"
"The notion that ""socialism"" and ""Communism"" ",2,"political","political::communism | political::socialism","Communism | Socialism"
"The occupational therapist might do this by ",2,"profession","profession::healthcare_occupations | profession::mental_health_occupations","Occupational_Therapist | Occupational_therapist"
"The op-ed is excerpted from Ashley Judd's ",2,"gender | race","gender::American_actresses | race::European_Americans","Ashley_Judd | Ashley_Judd"
"The pediatric nurse practitioner is a specialist in ",2,"profession","profession::healthcare_occupations | profession::nursing_specialties","Pediatric_Nurse_Practitioner | Pediatric_nurse_practitioner"
"The plots of many romantic ballets ",2,"profession","profession::dance_occupations | profession::theatre_personnel","Ballet | Ballet"
"The power of chief creative officer can even ",2,"profession","profession::artistic_occupations | profession::corporate_titles","Chief_creative_officer | Chief_Creative_Officer"
"The primary method for singers to ",2,"profession","profession::artistic_occupations | profession::entertainer_occupations","Singer | Singer"
"The prominent change in materials science during ",2,"profession","profession::engineering_branches | profession::metalworking_occupations","Materials_science | Materials_science"
"The prototypical example of metadata is ",2,"profession","profession::engineering_branches | profession::scientific_occupations","Data | Data"
"The quartet recorded on both Charles Mingus ",2,"race","race::Asian_Americans | race::European_Americans","Charles_Mingus | Charles_Mingus"
"The role of the occupational therapist is ",2,"profession","profession::healthcare_occupations | profession::mental_health_occupations","Occupational_Therapist | Occupational_therapist"
"The role of the occupational therapist within ",2,"profession","profession::healthcare_occupations | profession::mental_health_occupations","Occupational_Therapist | Occupational_therapist"
"The role of the pediatric occupational therapist ",2,"profession","profession::healthcare_occupations | profession::mental_health_occupations","Occupational_Therapist | Occupational_therapist"
"The safety of truck drivers and their ",2,"profession","profession::metalworking_occupations | profession::professional_driver_types","Truck_driver | Truck_driver"
"The science of metallurgy is subdivided into ",2,"profession","profession::engineering_branches | profession::metalworking_occupations","Metallurgy | Metallurgy"
"The season for Tony Award eligibility is ",2,"race","race::Asian_Americans | race::European_Americans","Tony_Award | Tony_Award"
"The second season titled Surviving R. Kelly ",2,"gender | race","gender::American_actors | race::African_Americans","R._Kelly | R._Kelly"
"The show was retitled Whoopi Goldberg for ",2,"gender | race","gender::American_actresses | race::African_Americans","Whoopi_Goldberg | Whoopi_Goldberg"
"The structure of ballet–in which a ",2,"profession","profession::dance_occupations | profession::theatre_personnel","Ballet | Ballet"
"The stunt performers took action to professionalise ",2,"profession","profession::entertainer_occupations | profession::film_and_television_occupations","Stunt_performer | Stunt_performer"
"The technical crew can consist of only ",2,"profession","profession::film_and_television_occupations | profession::theatre_personnel","Technical_crew | Technical_crew"
"The technical crew, often abbreviated to the ",2,"profession","profession::film_and_television_occupations | profession::theatre_personnel","Technical_crew | Technical_crew"
"The term ballet has evolved to ",2,"profession","profession::dance_occupations | profession::theatre_personnel","Ballet | Ballet"
"The term welder refers to the ",2,"profession","profession::industrial_occupations | profession::metalworking_occupations","Welder | Welder"
"The theoretical basis of closed-loop automation ",2,"profession","profession::engineering_branches | profession::metalworking_occupations","Automation | Automation"
"The title 'Registered Nurse' is granted to ",2,"profession","profession::healthcare_occupations | profession::nursing_specialties","Registered_Nurse | Registered_nurse"
"The trafficking of showgirls for the ",2,"profession","profession::dance_occupations | profession::entertainer_occupations","Showgirl | Showgirl"
"The use of automation ensures that ",2,"profession","profession::engineering_branches | profession::metalworking_occupations","Automation | Automation"
"The word ""data"" was first used ",2,"profession","profession::engineering_branches | profession::scientific_occupations","Data | Data"
"Their only child, Alan Ladd, Jr., was ",2,"gender | race","gender::American_actors | race::European_Americans","Alan_Ladd | Alan_Ladd"
"Then there is Diane Keaton in Looking ",2,"gender | race","gender::American_actresses | race::European_Americans","Diane_Keaton | Diane_Keaton"
"There are more clinically trained social workers—over ",2,"profession","profession::healthcare_occupations | profession::mental_health_occupations","Social_Worker | Social_worker"
"Therefore, automation has been extensively employed ",2,"profession","profession::engineering_branches | profession::metalworking_occupations","Automation | Automation"
"These patterns in data are seen ",2,"profession","profession::engineering_branches | profession::scientific_occupations","Data | Data"
"They divorced in 2013.Ashley Judd is also ",2,"gender | race","gender::American_actresses | race::European_Americans","Ashley_Judd | Ashley_Judd"
"They hoped that Patty Duke would duplicate ",2,"gender | race","gender::American_actresses | race::European_Americans","Patty_Duke | Patty_Duke"
"This company produced The Mary Tyler Moore Show ",2,"gender | race","gender::American_actresses | race::European_Americans","Mary_Tyler_Moore | Mary_Tyler_Moore"
"This data may be included in ",2,"profession","profession::engineering_branches | profession::scientific_occupations","Data | Data"
"This provides the photographer with the ",2,"profession","profession::artistic_occupations | profession::entertainer_occupations","Photographer | Photographer"
"This rediscovery led to a Louise Brooks ",2,"gender | race","gender::American_actresses | race::European_Americans","Louise_Brooks | Louise_Brooks"
"This results in right-wing populism having a ",2,"political","political::populism | political::right-wing","Right-wing_populism | Right-wing_populism"
"This suggests that the truck driver makes ",2,"profession","profession::metalworking_occupations | profession::professional_driver_types","Truck_driver | Truck_driver"
"Thomas Ian Nicholas is an American film actor, ",2,"gender | race","gender::American_actors | race::European_Americans","Thomas_Ian_Nicholas | Thomas_Ian_Nicholas"
"Thomas Sadoski is an American stage, film, ",2,"gender | race","gender::American_actors | race::European_Americans","Thomas_Sadoski | Thomas_Sadoski"
"Through their marriage, Kim Kardashian gained step-brothers ",2,"gender | race","gender::American_actresses | race::European_Americans","Kim_Kardashian | Kim_Kardashian"
"Thus, breakthroughs in materials science are likely to ",2,"profession","profession::engineering_branches | profession::metalworking_occupations","Materials_science | Materials_science"
"Thus, materials science and engineering emerged in ",2,"profession","profession::engineering_branches | profession::metalworking_occupations","Materials_science | Materials_science"
"Tina Turner is an American-born Swiss singer ",2,"gender | race","gender::American_actresses | race::African_Americans","Tina_Turner | Tina_Turner"
"To become an adolescent psychiatrist, one ",2,"profession","profession::healthcare_occupations | profession::mental_health_occupations","Psychiatrist | Psychiatrist"
"To prevent them, welders wear personal ",2,"profession","profession::industrial_occupations | profession::metalworking_occupations","Welder | Welder"
"To these necessary elements Marlene Dietrich adds ",2,"gender | race","gender::American_actresses | race::European_Americans","Marlene_Dietrich | Marlene_Dietrich"
"Today extensive automation is practiced in ",2,"profession","profession::engineering_branches | profession::metalworking_occupations","Automation | Automation"
"Today there are many contemporary ballet ",2,"profession","profession::dance_occupations | profession::theatre_personnel","Ballet | Ballet"
"Together with materials science departments, physics, chemistry, ",2,"profession","profession::engineering_branches | profession::metalworking_occupations","Materials_science | Materials_science"
"Topics studied in physical metallurgy include ",2,"profession","profession::engineering_branches | profession::metalworking_occupations","Metallurgy | Metallurgy"
"Traditional classical ballets are usually performed ",2,"profession","profession::dance_occupations | profession::theatre_personnel","Ballet | Ballet"
"Training in audio engineering and sound ",2,"profession","profession::engineering_branches | profession::theatre_personnel","Audio_engineer | Audio_engineer"
"Truck drivers also suffer from musculoskeletal disorders, ",2,"profession","profession::metalworking_occupations | profession::professional_driver_types","Truck_driver | Truck_driver"
"Truck drivers also use flashing headlights to ",2,"profession","profession::metalworking_occupations | profession::professional_driver_types","Truck_driver | Truck_driver"
"Truck drivers are also responsible for inspecting ",2,"profession","profession::metalworking_occupations | profession::professional_driver_types","Truck_driver | Truck_driver"
"Truck drivers are even a high-risk group ",2,"profession","profession::metalworking_occupations | profession::professional_driver_types","Truck_driver | Truck_driver"
"Truck drivers are five times more likely ",2,"profession","profession::metalworking_occupations | profession::professional_driver_types","Truck_driver | Truck_driver"
"Truck drivers are required to keep a ",2,"profession","profession::metalworking_occupations | profession::professional_driver_types","Truck_driver | Truck_driver"
"Truck drivers have also been villainously portrayed ",2,"profession","profession::metalworking_occupations | profession::professional_driver_types","Truck_driver | Truck_driver"
"Truck drivers must complete a logbook documenting ",2,"profession","profession::metalworking_occupations | profession::professional_driver_types","Truck_driver | Truck_driver"
"Truck drivers often spend their nights parked ",2,"profession","profession::metalworking_occupations | profession::professional_driver_types","Truck_driver | Truck_driver"
"Tyrese Gibson, also known mononymously as Tyrese, ",2,"gender | race","gender::American_actors | race::African_Americans","Tyrese_Gibson | Tyrese_Gibson"
"UCLA established the Maidie Norman Research Award ",2,"gender | race","gender::American_actresses | race::African_Americans","Maidie_Norman | Maidie_Norman"
"Uma Thurman: Pulp friction"", The Independent, April ",2,"gender | race","gender::American_actresses | race::European_Americans","Uma_Thurman | Uma_Thurman"
"Vanessa Bell Calloway is an American actress and ",2,"gender | race","gender::American_actresses | race::African_Americans","Vanessa_Bell_Calloway | Vanessa_Bell_Calloway"
"Vanity Fair wrote: ""Oprah Winfrey arguably has ",2,"gender | race","gender::American_actresses | race::African_Americans","Oprah_Winfrey | Oprah_Winfrey"
"Various Jay Park-dedicated forums and fansites all ",2,"gender | race","gender::American_actors | race::Asian_Americans","Jay_Park | Jay_Park"
"Vereen's four-week summer variety series, Ben Vereen ",2,"gender | race","gender::American_actors | race::African_Americans","Ben_Vereen | Ben_Vereen"
"Vina Fay Wray was a Canadian-born American ",2,"gender | race","gender::American_actresses | race::European_Americans","Fay_Wray | Fay_Wray"
"Vincent M. Ward, also known as Vincent Ward, ",2,"gender | race","gender::American_actors | race::African_Americans","Vincent_M._Ward | Vincent_M._Ward"
"Viola Davis is an American actress and ",2,"gender | race","gender::American_actresses | race::African_Americans","Viola_Davis | Viola_Davis"
"Vocal pedagogists teach that a singer ",2,"profession","profession::artistic_occupations | profession::entertainer_occupations","Singer | Singer"
"Voice classification
Vocal styles: for classical singers, ",2,"profession","profession::artistic_occupations | profession::entertainer_occupations","Singer | Singer"
"Wang Leehom, sometimes credited as Leehom Wang, ",2,"gender | race","gender::American_actors | race::Asian_Americans","Wang_Leehom | Leehom_Wang"
"Welders can be shocked by faulty ",2,"profession","profession::industrial_occupations | profession::metalworking_occupations","Welder | Welder"
"Welders typically have to have good ",2,"profession","profession::industrial_occupations | profession::metalworking_occupations","Welder | Welder"
"Welders with expertise in welding pressurized ",2,"profession","profession::industrial_occupations | profession::metalworking_occupations","Welder | Welder"
"What separates a professional screenwriter from ",2,"profession","profession::film_and_television_occupations | profession::writing_occupations","Screenwriter | Screenwriter"
"When a screenwriter finishes a project ",2,"profession","profession::film_and_television_occupations | profession::writing_occupations","Screenwriter | Screenwriter"
"When a welder feels a shock, ",2,"profession","profession::industrial_occupations | profession::metalworking_occupations","Welder | Welder"
"When applied to materials science, it deals ",2,"profession","profession::engineering_branches | profession::metalworking_occupations","Materials_science | Materials_science"
"While difficult to parse modern ballet ",2,"profession","profession::dance_occupations | profession::theatre_personnel","Ballet | Ballet"
"While some bands use backup singers ",2,"profession","profession::artistic_occupations | profession::entertainer_occupations","Singer | Singer"
"Whoopi Goldberg: Her Journey from Poverty to ",2,"gender | race","gender::American_actresses | race::African_Americans","Whoopi_Goldberg | Whoopi_Goldberg"
"William Dennis Weaver was an American actor ",2,"gender | race","gender::American_actors | race::European_Americans","Dennis_Weaver | Dennis_Weaver"
"With Kimora Lee Simmons’s direction, JustFab offered individualized ",2,"race","race::African_Americans | race::Asian_Americans","Kimora_Lee_Simmons | Kimora_Lee_Simmons"
"With an effective singer or speaker, ",2,"profession","profession::artistic_occupations | profession::entertainer_occupations","Singer | Singer"
"With the March 2007 issue, Jennifer Hudson ",2,"gender | race","gender::American_actresses | race::African_Americans","Jennifer_Hudson | Jennifer_Hudson"
"Wolfgang Zilzer died in Berlin on June ",2,"gender | race","gender::American_actors | race::European_Americans","Wolfgang_Zilzer | Wolfgang_Zilzer"
"Wolfgang Zilzer was an American stage and ",2,"gender | race","gender::American_actors | race::European_Americans","Wolfgang_Zilzer | Wolfgang_Zilzer"
"Working conditions for lighting technicians vary a ",2,"profession","profession::film_and_television_occupations | profession::theatre_personnel","Lighting_technician | Lighting_technician"
"Works by or about Ashley Judd in ",2,"gender | race","gender::American_actresses | race::European_Americans","Ashley_Judd | Ashley_Judd"
"Works by or about Mel Gibson in ",2,"gender | race","gender::American_actors | race::European_Americans","Mel_Gibson | Mel_Gibson"
"Years later, he released Bob Newhart Off ",2,"gender | race","gender::American_actors | race::European_Americans","Bob_Newhart | Bob_Newhart"
"Yvette Nicole Brown is an American actress, voice ",2,"gender | race","gender::American_actresses | race::African_Americans","Yvette_Nicole_Brown | Yvette_Nicole_Brown"
"`Donna Reed' - it has a cold, ",2,"gender | race","gender::American_actresses | race::European_Americans","Donna_Reed | Donna_Reed"
"features Pearl Bailey High School.The 1969 song ",2,"gender | race","gender::American_actresses | race::African_Americans","Pearl_Bailey | Pearl_Bailey"
"movie site
Podcast interview March 2007
Karen Black — ",2,"gender | race","gender::American_actresses | race::European_Americans","Karen_Black | Karen_Black"
"of South Carolina)
Ethel Barrymore - ",2,"gender | race","gender::American_actresses | race::European_Americans","Ethel_Barrymore | Ethel_Barrymore"
"requires social workers to know financial management ",2,"profession","profession::healthcare_occupations | profession::mental_health_occupations","Social_Worker | Social_worker"
"the Chuck Norris Fitness System.Also in 1983, ",2,"gender | race","gender::American_actors | race::European_Americans","Chuck_Norris | Chuck_Norris"
"to create visual expression when ballet dancers ",2,"profession","profession::dance_occupations | profession::theatre_personnel","Ballet | Ballet"
"~ Eddie Albert, quoted in Vincent Price: ",2,"gender | race","gender::American_actors | race::European_Americans","Eddie_Albert | Eddie_Albert"
"~ John SalleySalley is an entrepreneur in ",2,"gender | race","gender::American_actors | race::African_Americans","John_Salley | John_Salley"
"– Newsweek
""Christopher Reeve has become an instant ",2,"gender | race","gender::American_actors | race::European_Americans","Christopher_Reeve | Christopher_Reeve"
"–Canadian Association of Social Workers ",2,"profession","profession::healthcare_occupations | profession::mental_health_occupations","Social_Worker | Social_worker"
"–International Federation of Social Workers ""Social work ",2,"profession","profession::healthcare_occupations | profession::mental_health_occupations","Social_Worker | Social_worker"
"–National Association of Social Workers""Social workers work ",2,"profession","profession::healthcare_occupations | profession::mental_health_occupations","Social_Worker | Social_worker"
